,Species,Indentation_line,x,y,H,E,C,Ca,F,Fe,Mg,Na,O,P
1086,HSa,1,202.0689655172,157.6206896552,1.036622,24.562755,0.0530140637,0.1489540367,0.0027586207,0.0024494649,0.0121046373,0.0095001845,0.0717183976,0.1542326459
1087,HSa,1,204.0344827586,158.3103448276,1.279326,26.169552,0.0387100742,0.1379744967,0.0037664521,0.0027586207,0.0091721678,0.0082758621,0.0885464759,0.1397876092
1088,HSa,1,206,159,1.115029,23.896095,0.04,0.1372413793,0.0034482759,0.0020689655,0.0110344828,0.0096551724,0.0931034483,0.1303448276
1089,HSa,1,207.9655172414,159.6896551724,0.925188,22.102113,0.040019681,0.1365025216,0.0041617122,0.0025445898,0.0134068638,0.0108130715,0.0826602157,0.1245438517
1090,HSa,1,209.9310344828,160.3793103448,0.982603,21.288581,0.0422469146,0.1404452827,0.0021460494,0.0007372176,0.014274468,0.0095059248,0.0789790479,0.1144876789
1091,HSa,1,211.8965517241,161.0689655172,1.129967,24.680915,0.0420837263,0.1388585018,0.0014129321,0.0006896552,0.0131797122,0.0074484399,0.0726458649,0.1248382468
1092,HSa,1,213.8620689655,161.7586206897,1.204515,25.540417,0.0405453278,0.1367854361,0.0013071467,0.0026634958,0.014077658,0.0069916766,0.0844429866,0.1300381319
1093,HSa,1,215.8275862069,162.4482758621,1.179744,25.319577,0.0429562508,0.1381918078,0.0020689655,0.0021345689,0.0173602854,0.0070630202,0.0845356513,0.1338701874
1094,HSa,1,217.7931034483,163.1379310345,1.303469,26.338742,0.0439435811,0.1320693755,0.0033055886,0.0017598098,0.0153503629,0.0091598672,0.0839394809,0.1406306122
1095,HSa,1,219.7586206897,163.8275862069,1.131449,24.121099,0.0433859527,0.1419303784,0.002235434,0.0012604043,0.0114584444,0.0139120095,0.0853761942,0.1524367543
1096,HSa,1,221.724137931,164.5172413793,0.92847,29.973327,0.0403362171,0.1441215302,0.0019467793,0.0002820944,0.0112690147,0.0105998606,0.0836893682,0.1431973431
1097,HSa,1,223.6896551724,165.2068965517,0.491817,16.317149,0.0350535077,0.1478141785,0.0035844028,0.0006183115,0.0108409529,0.0113501989,0.0854212965,0.13588257
1098,HSa,1,225.6551724138,165.8965517241,0.883474,21.169704,0.0311533888,0.1535306901,0.005470499,0.0019262782,0.0149091804,0.014530321,0.0880380499,0.1403821395
1099,HSa,1,227.6206896552,166.5862068966,1.06095,22.575029,0.0304219115,0.1682922629,0.0035803026,0.0029595309,0.0136979786,0.0115576694,0.086803887,0.1441239903
1100,HSa,1,229.5862068966,167.275862069,0.755341,19.71974,0.0337275001,0.1579195539,0.0025445898,0.0025593505,0.0169141826,0.0085136742,0.0874238386,0.1449358317
1101,HSa,2,30,114,3.978949,92.816929,0.0503448276,0.1820689655,0.004137931,0.0062068966,0.0082758621,0.0144827586,0.0862068966,0.1731034483
1102,HSa,2,31.935483871,114.6774193548,4.337732,97.367083,0.0130704367,0.2042965302,0.0078754171,0.0057698518,0.0082902149,0.0135562812,0.0843381535,0.1927159209
1103,HSa,2,33.8709677419,115.3548387097,5.697649,102.64114,0.0117427967,0.2153324482,0.0103634863,0.0047830923,0.0077900176,0.0116387384,0.0845864581,0.1992565216
1104,HSa,2,35.8064516129,116.0322580645,4.863371,97.107891,0.011764326,0.212653486,0.007163515,0.0040266963,0.0089963759,0.0131256952,0.084413506,0.1823007643
1105,HSa,2,37.7419354839,116.7096774194,4.195088,85.983372,0.0106570024,0.215248484,0.0055617353,0.0036850981,0.0073637375,0.0117463849,0.0875933833,0.1674649252
1106,HSa,2,39.6774193548,117.3870967742,4.516914,90.593924,0.0133646704,0.2065327066,0.0061207794,0.0064236248,0.0053923715,0.0143327712,0.0887559654,0.185272525
1107,HSa,2,41.6129032258,118.064516129,4.302482,88.269851,0.0171918619,0.2212106642,0.0068319638,0.0093831856,0.0087430478,0.0130266604,0.081860849,0.1995177437
1108,HSa,2,43.5483870968,118.7419354839,4.904098,97.341596,0.0185453371,0.2353877068,0.0066073415,0.005375148,0.0104029567,0.0120305716,0.0795328142,0.201480498
1109,HSa,2,45.4838709677,119.4193548387,5.557115,101.933629,0.0179087875,0.2292619039,0.0081739567,0.0041221429,0.0090609638,0.0132082242,0.0832035595,0.1914220101
1110,HSa,2,47.4193548387,120.0967741935,5.63138,99.474404,0.0144109943,0.2164928774,0.0074362195,0.0015795328,0.0091384693,0.0145939933,0.0942452187,0.1936280455
1111,HSa,2,49.3548387097,120.7741935484,5.702088,97.300979,0.0111457175,0.2073515376,0.0056169938,0.0027916323,0.0083648498,0.0146714988,0.098895547,0.1996232373
1112,HSa,2,51.2903225806,121.4516129032,5.025252,92.360907,0.0105213678,0.2097025369,0.0059176863,0.002534716,0.0092382217,0.0180659514,0.0941562309,0.2118475726
1113,HSa,2,53.2258064516,122.1290322581,4.396754,85.692495,0.0125558865,0.2189091822,0.0066518354,0.0032236535,0.0112347052,0.0181979978,0.0810814884,0.1954149772
1114,HSa,2,55.1612903226,122.8064516129,4.366625,85.96872,0.0111672468,0.2395457318,0.0070974918,0.0029810901,0.0114801392,0.0156403172,0.0909691772,0.1895661846
1115,HSa,2,57.0967741935,123.4838709677,4.314062,84.144241,0.0129455668,0.2197064839,0.005262478,0.0048275862,0.0121511357,0.0165373713,0.0879629696,0.1860131329
1116,HSa,2,59.0322580645,124.1612903226,4.168137,82.934811,0.0159029746,0.2100003588,0.0059399333,0.0038078151,0.009432703,0.0183314794,0.0866489648,0.1833470882
1117,HSa,2,60.9677419355,124.8387096774,4.366967,86.975422,0.0135412107,0.2131328716,0.0043381535,0.0028734436,0.0084983315,0.0181570921,0.0792816391,0.2065406007
1118,HSa,2,62.9032258065,125.5161290323,3.152213,73.963504,0.0111112706,0.2070443862,0.0044594352,0.0014116043,0.0074548782,0.0191668162,0.0848290215,0.1938354444
1119,HSa,2,64.8387096774,126.1935483871,4.148961,84.061893,0.0105902616,0.2122817467,0.0036707453,0.0008008899,0.0054505006,0.018487208,0.0937471743,0.1834698052
1120,HSa,2,66.7741935484,126.8709677419,3.385448,79.729323,0.0136617747,0.2137242097,0.0022935879,0.0006896552,0.0072324088,0.0138038681,0.0858997452,0.180172952
1121,HSa,2,68.7096774194,127.5483870968,3.533625,79.750378,0.0131034483,0.2218838136,0.0023804227,0.0010678532,0.0076127597,0.0106369084,0.0815558506,0.1779353403
1122,HSa,2,70.6451612903,128.2258064516,3.855807,81.206454,0.0122810291,0.2034712404,0.0047163515,0.0018242492,0.0109225304,0.0135261402,0.0812601816,0.1821909649
1123,HSa,2,72.5806451613,128.9032258065,3.614847,80.438771,0.0158843159,0.2090358463,0.0042326599,0.0020689655,0.0109569773,0.0135986221,0.0769349456,0.1781384334
1124,HSa,2,74.5161290323,129.5806451613,3.108797,70.625672,0.0187254656,0.2135311637,0.0032767591,0.0013348165,0.0106692023,0.0152298253,0.0835817575,0.1735354695
1125,HSa,2,76.4516129032,130.2580645161,3.588317,79.264934,0.0220467186,0.2071477269,0.0005920557,0.003381535,0.0130453192,0.0172636263,0.0841329075,0.1764885715
1126,HSa,2,78.3870967742,130.935483871,3.031005,70.321124,0.0186257132,0.2045233055,0.0020244716,0.004137931,0.0130740249,0.0160673149,0.0768387814,0.1895259966
1127,HSa,2,80.3225806452,131.6129032258,3.260988,73.385275,0.0185015609,0.2109620008,0.0016462736,0.0027808676,0.0130754602,0.0163766192,0.0764648893,0.2002066813
1128,HSa,2,82.2580645161,132.2903225806,3.006398,70.874848,0.0187914888,0.218539596,0.0006379849,0.0014166278,0.010434533,0.0156840934,0.0735268578,0.2012738168
1129,HSa,2,84.1935483871,132.9677419355,3.104933,72.881562,0.0238709677,0.2230241487,0.0016685206,0.0027363737,0.0081868743,0.0136416807,0.0719207722,0.1997682012
1130,HSa,2,86.1290322581,133.6451612903,3.384946,75.205519,0.0239082852,0.2260124152,0.0023452582,0.0021579533,0.0097089957,0.0107488607,0.0789823819,0.1789185116
1131,HSa,2,88.064516129,134.3225806452,3.337373,71.573659,0.0227349385,0.2202325164,0.0022325882,0.0022914349,0.0115827622,0.0127984499,0.0888097887,0.1825670099
1132,HSa,2,90,135,3.829858,71.17273,0.015862069,0.2434482759,0,0.0027586207,0.0089655172,0.0172413793,0.0875862069,0.2096551724
1133,HSa,2,91.935483871,135.6774193548,1.927205,52.669489,0.0182869855,0.2266338943,0.0020101188,0.0027284797,0.0089863289,0.0128285909,0.0817338261,0.1994395206
1134,HSa,2,93.8709677419,136.3548387097,1.761786,47.680417,0.0218113316,0.1964218307,0.0046496107,0.0020689655,0.0107510137,0.0154171301,0.0872446087,0.1765122538
1135,HSa,2,95.8064516129,137.0322580645,1.319124,36.82428,0.021237217,0.17066992,0.0041113782,0.0027586207,0.0106519789,0.0157508343,0.0822950231,0.1713947397
1136,HSa,2,97.7419354839,137.7096774194,1.219465,35.448199,0.0246790341,0.1618752018,0.0024471635,0.00189099,0.0093063978,0.0155872116,0.0747662277,0.1594653558
1137,HSa,2,99.6774193548,138.3870967742,1.314135,35.436354,0.026051168,0.1673221142,0.0028892318,0.0025361513,0.0114155513,0.011404069,0.0716186444,0.154522229
1138,HSa,2,101.6129032258,139.064516129,1.137576,35.478952,0.0263454017,0.1623753992,0.0013793103,0.0035372636,0.0073666081,0.0103276041,0.0715239155,0.156771323
1139,HSa,2,103.5483870968,139.7419354839,1.111779,33.922432,0.0299357709,0.1642369658,0.0010011123,0.0035013815,0.0107093904,0.0091657397,0.0698281244,0.1591373928
1140,HSa,2,105.4838709677,140.4193548387,1.406142,37.895733,0.0352391546,0.17343787,0.0006896552,0.0016972263,0.0116444795,0.0112727403,0.0706785317,0.1618393197
1141,HSa,2,107.4193548387,141.0967741935,1.168398,31.58769,0.0357788223,0.1800954466,0.0019297427,0.0008123722,0.0095604435,0.0151724138,0.0598780006,0.1551164376
1142,HSa,2,109.3548387097,141.7741935484,1.037234,29.60212,0.0438157092,0.1786659012,0.0024141519,0.002136424,0.0109677419,0.0143722416,0.0689985288,0.1480835337
1143,HSa,2,111.2903225806,142.4516129032,1.23418,32.797312,0.0436987334,0.1658832394,0.002246941,0.0034482759,0.0122523234,0.009320033,0.0747231691,0.1424751516
1144,HSa,2,113.2258064516,143.1290322581,1.158755,31.427668,0.0393218271,0.1513954573,0.0015615917,0.0020488715,0.0117686318,0.0088119416,0.0725006279,0.1440891313
1145,HSa,2,115.1612903226,143.8064516129,1.299365,34.67855,0.0319451721,0.1403602569,0.0024256342,0.0007111845,0.0103247336,0.0106333202,0.0755958233,0.1360378916
1146,HSa,2,117.0967741935,144.4838709677,1.159701,28.827818,0.0293437152,0.1574846604,0.003025584,0.0010233593,0.0113660339,0.0106663318,0.0767038645,0.1336883275
1147,HSa,2,119.0322580645,145.1612903226,1.195429,29.346978,0.0394108149,0.1533747174,0.0033851233,0.0013570634,0.0104783092,0.0125365101,0.0865362948,0.129943665
1148,HSa,2,120.9677419355,145.8387096774,1.342181,32.034285,0.0442118483,0.1646345402,0.0012903226,0.0013570634,0.0116129032,0.0112791991,0.094471994,0.1448462449
1149,HSa,2,122.9032258065,146.5161290323,1.105298,27.740801,0.0398220245,0.1654361477,0.0027464208,0.0027586207,0.0117463849,0.010577344,0.0934450465,0.1486483189
1150,HSa,2,124.8387096774,147.1935483871,0.984976,28.465449,0.0352793426,0.1595780258,0.0029136316,0.0044938821,0.0110129535,0.0104775916,0.0889834583,0.1548121569
1151,HSa,2,126.7741935484,147.8709677419,1.14336,32.901562,0.0314191395,0.1644888586,0.0030499839,0.0030700779,0.0105651441,0.0100175823,0.0784118555,0.1489145646
1152,HSa,2,128.7096774194,148.5483870968,1.19028,28.965102,0.0269396103,0.152017654,0.0015795328,0.00189099,0.0102307223,0.0069396103,0.0795328142,0.1447177868
1153,HSa,2,130.6451612903,149.2258064516,1.271471,29.924407,0.0308342603,0.1466977645,0.0003451864,0.0011898525,0.012212853,0.0071075388,0.0855947469,0.1383178442
1154,HSa,2,132.5806451613,149.9032258065,1.596522,38.491662,0.0318691019,0.1460174387,0.0017130145,0.0017797553,0.0100283469,0.0071355269,0.0760077505,0.1370691449
1155,HSa,2,134.5161290323,150.5806451613,1.24857,29.266264,0.0355219061,0.1443575299,0.0020689655,0.0019196957,0.0088672001,0.0058954394,0.0728587319,0.1383278912
1156,HSa,2,136.4516129032,151.2580645161,1.251599,34.428803,0.0380838925,0.1573475905,0.0012458287,0.0016103915,0.0100283469,0.0069187987,0.0715002332,0.1349190857
1157,HSa,2,138.3870967742,151.935483871,1.346409,32.176245,0.0402770103,0.1513380459,0,0.0014238042,0.0120678891,0.0068125875,0.0806451613,0.1335613047
1158,HSa,2,140.3225806452,152.6129032258,1.263983,31.167723,0.0356675876,0.1549836736,0.0004226919,0.0009566185,0.0161397969,0.0066740823,0.0854899709,0.1401449639
1159,HSa,2,142.2580645161,153.2903225806,1.211552,29.555588,0.0358391044,0.1577229179,0.0007119021,0.0012824285,0.015135814,0.0059994976,0.0836341455,0.1594947791
1160,HSa,2,144.1935483871,153.9677419355,1.240554,30.544845,0.0368007463,0.1667085292,0.0016419678,0.0020467186,0.0171789443,0.0074749722,0.0751372493,0.1640632961
1161,HSa,2,146.1290322581,154.6451612903,1.294597,29.536926,0.0364498188,0.1551910725,0.0022246941,0.0020689655,0.0127216621,0.0064738598,0.0767017116,0.1536782805
1162,HSa,2,148.064516129,155.3225806452,1.257229,30.174663,0.0399124475,0.1551099788,0.0023215759,0.0005116796,0.0076673006,0.0089353762,0.0786206897,0.1245319172
1163,HSa,2,150,156,1.236202,29.854272,0.035862069,0.1496551724,0.0013793103,0.0006896552,0.0124137931,0.0131034483,0.0834482759,0.1393103448
1164,HSa,2,151.935483871,156.6774193548,1.2967,29.287984,0.033305106,0.1543112419,0.003403782,0.0020244716,0.0141791955,0.0136373749,0.0799583767,0.1388367003
1165,HSa,2,153.8709677419,157.3548387097,1.34867,31.228748,0.0290580932,0.1628877965,0.0028476085,0.0012551581,0.0112124583,0.0130331192,0.0899257239,0.1354027773
